| Dimension | Stage 2 threshold | Stage 3 threshold | Stage 4 threshold | Stage 5 threshold | Basis |
|---|---|---|---|---|---|
| Decision rights and accountability | [inference] Named owner per use case | [inference] Responsibility-assignment matrix and escalation by agent class | [inference] Delegated approvals by risk tier | [inference] Dynamic decision rights reviewed by telemetry and incidents | https://davidamitchell.github.io/Research/research/2026-04-26-ai-lowcode-decision-rights-accountability-liability.html<br>https://learn.microsoft.com/en-us/microsoft-copilot-studio/guidance/maturity-model-readiness |
| Identity and access | [inference] Basic role-based access control and approved identities | [inference] Machine and human identities governed with least privilege | [inference] Policy-driven identity enforcement and periodic access review | [inference] Continuous identity assurance and anomaly-driven remediation | https://davidamitchell.github.io/Research/research/2026-04-26-ai-agent-identity-access-management-enterprise.html<br>https://www.nist.gov/itl/ai-risk-management-framework |
| Enforcement architecture | [inference] Basic connector and action restrictions | [inference] Standard enforcement points defined across gateways, connectors, and runtimes | [inference] Automated multi-layer enforcement with exception workflow | [inference] Adaptive policy tuning and cross-layer consistency checks | https://davidamitchell.github.io/Research/research/2026-04-26-ai-lowcode-governance-enforcement-architecture.html<br>https://learn.microsoft.com/en-us/microsoft-copilot-studio/guidance/maturity-model-security-governance |
| Observability and telemetry | [inference] Usage logs captured for shared systems | [inference] Standard dashboards, alerts, and audit trails by class | [inference] Production reliability, safety, and compliance metrics reviewed routinely | [inference] Predictive analytics and automated anomaly response | https://davidamitchell.github.io/Research/research/2026-04-26-ai-lowcode-observability-telemetry-governance.html<br>https://learn.microsoft.com/en-us/microsoft-copilot-studio/guidance/maturity-model-security-governance |
| Risk tiering | [inference] Initial low-medium-high use-case categorisation | [inference] Tier-specific controls, approvals, and deployment paths | [inference] Tier-specific service levels and automated policy selection | [inference] Dynamic re-tiering based on behaviour, incidents, and context | https://davidamitchell.github.io/Research/research/2026-04-26-ai-lowcode-risk-tier-classification-controls.html<br>https://www.nist.gov/itl/ai-risk-management-framework/nist-ai-rmf-playbook |
| Data governance | [inference] Approved data sources and basic separation | [inference] Data classification, approved retrieval patterns, and connector policy | [inference] Data lineage, sensitive-data controls, and monitored exceptions | [inference] Continuous data-policy verification and adaptive protection | https://davidamitchell.github.io/Research/research/2026-04-26-data-governance-ai-lowcode-enterprise-enforcement.html<br>https://www.iso.org/standard/81230.html |
| Lifecycle management | [inference] Manual review before production | [inference] Standard build-test-release-retire gates by class | [inference] Automated release gates, periodic recertification, retirement triggers | [inference] Continuous lifecycle optimisation with policy and model refresh | https://davidamitchell.github.io/Research/research/2026-04-26-ai-lowcode-lifecycle-management.html<br>https://learn.microsoft.com/en-us/microsoft-copilot-studio/guidance/maturity-model-security-governance |
| Business value and cost governance | [inference] Basic success criteria and owner | [inference] Baselines, key metrics, and portfolio visibility | [inference] Value and cost reviewed by risk tier and lifecycle status | [inference] Real-time value-risk optimisation and retirement discipline | https://davidamitchell.github.io/Research/research/2026-04-26-ai-governance-cost-performance-delivery-impact.html<br>https://learn.microsoft.com/en-us/microsoft-copilot-studio/guidance/maturity-model-business-process |
| Human oversight | [inference] Human approval for sensitive actions | [inference] Defined human-in-the-loop patterns by risk tier | [inference] Escalation logic and auditability for overrides | [inference] Dynamic oversight calibrated by confidence and incident learning | https://davidamitchell.github.io/Research/research/2026-04-26-human-in-the-loop-ai-automated-workflows.html<br>https://learn.microsoft.com/en-us/microsoft-copilot-studio/guidance/maturity-model-business-process |
| SDLC and platform engineering | [inference] Shared repository and basic environment separation | [inference] Reference architectures, templates, and approved build paths | [inference] Automated testing, policy-as-code, and platform self-service with guardrails | [inference] Platform continuously evolves from telemetry and failure analysis | https://davidamitchell.github.io/Research/research/2026-04-26-ai-lowcode-sdlc-platform-engineering-integration.html<br>https://cloud.google.com/blog/products/ai-machine-learning/announcing-the-2025-dora-report |
| Vendor and platform constraints | [inference] Known platform limits recorded for major tools | [inference] Compensating controls documented and approved | [inference] Constraint monitoring and standard fallback patterns | [inference] Constraint-aware routing and automatic policy adaptation | https://davidamitchell.github.io/Research/research/2026-04-26-ai-agent-control-plane-architecture-enterprise.html<br>https://www.iso.org/standard/81230.html |
| Failure-mode management | [inference] Incident logging and basic postmortems | [inference] Failure taxonomy and standard mitigations | [inference] Near-miss tracking, control testing, and scenario drills | [inference] Predictive prevention and closed-loop remediation | https://davidamitchell.github.io/Research/research/2026-04-26-ai-lowcode-failure-modes-governance-mitigation.html<br>https://learn.microsoft.com/en-us/microsoft-copilot-studio/guidance/maturity-model-security-governance |
| Culture and incentives | [inference] Basic training and sponsorship | [inference] Sanctioned-path norms, champions, and clear expectations | [inference] Incentives reinforce responsible use and escalation | [inference] Responsible autonomy is normalised and measured | https://davidamitchell.github.io/Research/research/2026-04-26-ai-governance-culture-incentives-behaviour.html<br>https://learn.microsoft.com/en-us/microsoft-copilot-studio/guidance/maturity-model-readiness |
| Regulatory alignment | [inference] Baseline legal and compliance review | [inference] Mapped obligations by use-case tier | [inference] Evidence pack and review cadence aligned to material regulations | [inference] Continuous compliance monitoring and external assurance readiness | https://davidamitchell.github.io/Research/research/2026-04-26-ai-lowcode-regulatory-compliance-alignment.html<br>https://www.nist.gov/itl/ai-risk-management-framework<br>https://www.iso.org/standard/81230.html |
