| Claim | Source | Confidence | Notes |
|---|---|---|---|
| 55.8% faster task completion with GitHub Copilot | arXiv 2302.06590 / Microsoft Research | high | RCT, ~95 developers, single task; 95% CI 21-89% |
| >25% of Google's new code is AI-generated | Alphabet earnings call Q3 2024, Sundar Pichai | medium | CEO statement, not independently audited |
| ANZ Bank: 40-55% faster code with Copilot, 3,000 engineers | Finextra 43689, iTnews 601195, The Register 2024-02-10 | high | Internal controlled trial, multiple corroborating sources |
| Higher AI adoption: –7.2% delivery stability, –1.5% throughput | Google Cloud DORA 2024 report | high | 10+ years research, tens of thousands of respondents |
| Devin 13.86% on SWE-bench (March 2024) | Cognition AI SWE-bench technical report | high | Publicly released methodology and results |
| ~80% on SWE-bench Verified (early 2026) | live-swe-agent.github.io, llm-stats.com/benchmarks | high | Multiple leaderboards consistent |
| ~46% on SWE-bench Pro (multi-file, harder tasks) | scaleapi.github.io/SWE-bench_Pro-os | medium | Newer benchmark; fewer independent validations |
| 73% → 11% on discriminative subsets | jatinganhotra.dev/blog/swe-agents/2025/06/05 | medium | Single analysis; methodology described; important caveat |
| Copilot Coding Agent: 10,000+ orgs, mandatory human review gate | GitHub newsroom, Azure DevOps blog | high | Official product documentation |
| AI code without human authorship is uncopyrightable | MBHB law firm, Norton Rose Fulbright, US Copyright Office | high | Consistent across multiple legal jurisdictions |
| JPMorgan: 10–20% developer productivity gains | Harvard Business School case study, 5dvision.com | medium | Vendor-adjacent sourcing; plausible range |
| No NZ company SWE AI disclosures found | Search results: no matching results | medium | Absence of evidence; not evidence of absence of programmes |
