| Claim | Source | Confidence | Notes |
|---|---|---|---|
| [fact] Base Large Language Model pre-training optimises next-token prediction over text. | https://arxiv.org/abs/2005.14165 ; https://web.stanford.edu/~jurafsky/slp3/ed3book.pdf | high | Training-objective claim. |
| [fact] Distributional semantics grounds meaning in contextual co-occurrence. | https://web.stanford.edu/~jurafsky/slp3/ed3book.pdf ; https://arxiv.org/abs/2205.07750 | high | Firthian background. |
| [inference] Observational text-only learning does not erase Phase 2's causal barrier. | https://causalai.net/r60.pdf ; https://arxiv.org/abs/1801.04016 ; https://github.com/davidamitchell/Research/blob/main/Research/completed/2026-05-18-rq2-1-erm-causal-blindness.md ; https://github.com/davidamitchell/Research/blob/main/Research/completed/2026-05-18-rq2-4-causal-hierarchy-formal-limits.md | medium | Cross-item dependence plus primary causal-theory support. |
| [inference] Probe success is weaker evidence than interventional mechanistic proof. | https://arxiv.org/abs/2404.14082 ; https://arxiv.org/abs/2301.05217 | medium | Distinguishes decodability from use. |
| [fact] Causal-task performance deteriorates as causal complexity increases. | https://arxiv.org/abs/2405.00622 ; https://opencausalab.github.io/CaLM ; https://aclanthology.org/2024.sighan-1.17/ | medium | Benchmark family evidence. |
| [fact] Many causal benchmarks can be solved by retrieval or familiar textual knowledge. | https://arxiv.org/abs/2407.08029 ; https://aclanthology.org/2024.sighan-1.17/ | medium | Qualification on benchmark interpretation. |
| [fact] Some Large Language Models can still produce strong causal arguments from text metadata. | https://openreview.net/forum?id=mqoxLkX210 ; https://www.microsoft.com/en-us/research/publication/causal-reasoning-and-large-language-models-opening-a-new-frontier-for-causality/ | medium | Partial positive evidence. |
| [inference] Explicit causal constraints improve robustness because the default objective is insufficient. | https://aclanthology.org/2024.emnlp-main.381/ | medium | Improvement under added causal structure. |
| [inference] Present-day Large Language Models are mainly Level 1 systems with uneven higher-level competence. | https://github.com/davidamitchell/Research/blob/main/Research/completed/2026-05-18-rq2-4-causal-hierarchy-formal-limits.md ; https://opencausalab.github.io/CaLM ; https://openreview.net/forum?id=mqoxLkX210 | medium | Final placement claim. |
