| Claim | Source | Confidence | Notes |
|---|---|---|---|
| Process Universe is a design-time ITIL 4-aligned reference library | https://www.reco.ai/hub/itil-servicenow-guide-it-administrators; https://www.royalcyber.com/blogs/servicenow/servicenow-itil-4-transforming-itsm/ | High | [fact] |
| Flow Designer is for background automation; Playbooks for runtime agent guidance | https://www.servicenow.com/community/developer-forum/flow-designer-vs-playbooks-in-servicenow-what-s-the-difference/m-p/3321831; https://www.servicenow.com/docs/r/washingtondc/build-workflows/process-automation-designer-landing-page.html | High | [fact] — two independent sources |
| Workflow Editor is in maintenance-only status | https://www.mindspire-consulting.com/service-management-and-servicenow-news/future-of-automated-it-service-management/; https://www.igmguru.com/blog/servicenow-workflow | High | [fact] — two independent sources |
| 80% of ITSM practitioners report inaccurate process maps | https://www.ctms-itsm.com/blogs/how-itsm-are-using-process-maps/ (primary survey) | Medium | [fact] — single survey, 100+ respondents |
| 20% say diagrams closely match real systems | https://www.ctms-itsm.com/blogs/how-itsm-are-using-process-maps/ (primary survey) | Medium | [fact] — same survey |
| 56% lack time to keep diagrams current | https://www.ctms-itsm.com/blogs/process-mapping-for-continuous-improvement/ | Medium | [fact] — single survey |
| Root causes: one-off creation, no ownership, no governance, time pressure | https://itsm.tools/build-valued-process-library-itsm/; https://bpmcommunity.org/common-challenges-in-process-documentation/; https://www.ctms-itsm.com/blogs/how-itsm-are-using-process-maps/ | High | [fact] — multiple independent sources agree |
| Three-board governance structure (strategic/portfolio/technical) | https://www.servicenow.com/content/dam/servicenow-assets/public/en-us/doc-type/success/workbook/governance-basics.pdf | High | [fact] — primary vendor source |
| Named process owners + RACI matrices required for documentation currency | https://glydepath.com.au/governance; https://us.fitgap.com/stack-guides/building-a-repeatable-governance-model-for-process-changes-across-business-units | High | [fact] — two independent practitioner sources |
| Change-triggered updates more reliable than calendar-only reviews | https://us.fitgap.com/stack-guides/building-a-repeatable-governance-model-for-process-changes-across-business-units | Medium | [inference] from governance literature |
| MVP: out-of-box templates + delta + RACI + exception/escalation paths | https://us.fitgap.com/stack-guides/standardize-it-process-requirements-with-a-minimum-viable-process-blueprint | Medium | [fact] + [inference] |
| No native linkage between process docs and CSDM records | Inferred across all consulted sources | Medium | [inference] — absence of evidence |
| CSDM change management uses service relationships for process impact computation | https://www.servicenow.com/community/common-service-data-model/how-the-common-service-data-model-transforms-change-management/ta-p/3434257 | High | [fact] — primary vendor community source |
| Process Mining cannot substitute for governance documentation | https://www.thedigitaliceberg.com/post/how-does-process-mining-work-in-servicenow; https://servicenowspectaculars.com/servicenow-process-mining-implementation-issues-2026/; https://govcio.com/resources/article/servicenow-process-mining/ | High | [fact] — three independent sources |
| Process Mining degrades on inconsistent event logs | https://servicenowspectaculars.com/servicenow-process-mining-implementation-issues-2026/ | High | [fact] |
| Playbooks are more decay-resistant than static documents because agents encounter them during execution | Behavioural inference from tool design | Medium | [inference] |
