| Claim | Source | Confidence | Notes |
|---|---|---|---|
| [inference] OPA is a well-supported default PDP runtime because it combines bundle publication, immediate post-load enforcement, revision-aware decision logging, and low-latency evaluation guidance. | https://www.openpolicyagent.org/docs/management-bundles ; https://www.openpolicyagent.org/docs/management-decision-logs ; https://www.openpolicyagent.org/docs/latest/policy-performance/ | medium | Retrieved official docs cover the runtime control-plane surface directly. |
| [inference] Cedar is useful for schema-validated authoring and bounded authorization, but it still needs a companion publication and audit plane for full UELGF deployment. | https://docs.cedarpolicy.com/policies/validation.html ; https://docs.cedarpolicy.com/schema/schema.html ; https://docs.cedarpolicy.com/auth/authorization.html | medium | Strong language and validator, thinner operations surface. |
| [inference] The reference architecture must keep PAP publication, PDP evaluation, PIP state, and PEP enforcement as separate services or adapters. | https://docs.oasis-open.org/xacml/3.0/xacml-3.0-core-spec-os-en.html ; https://davidamitchell.github.io/Research/research/2026-04-27-pap-dynamic-policy-profiling-proportionality.html ; https://davidamitchell.github.io/Research/research/2026-04-27-pdp-universal-policy-synchronisation-integrity.html | high | Mirrors UELGF component decomposition. |
| [inference] The feedback loop should use OTel trace context plus a Collector chain that limits memory, filters or redacts, enriches attributes, and batches exports. | https://opentelemetry.io/docs/concepts/context-propagation/ ; https://opentelemetry.io/docs/concepts/signals/baggage/ ; https://opentelemetry.io/docs/collector/architecture/ ; https://opentelemetry.io/docs/collector/components/processor/ | medium | Keeps correlation and privacy controls separated. |
| [inference] Prompt, tool-call, and retrieval evidence belongs in opt-in generative AI events and redacted sinks, not in baggage or generic headers. | https://opentelemetry.io/docs/specs/semconv/gen-ai/gen-ai-events/ ; https://opentelemetry.io/docs/specs/semconv/registry/attributes/gen-ai/ ; https://opentelemetry.io/docs/concepts/signals/baggage/ | medium | Sensitive payload capture must be explicit. |
| [inference] Short-lived centrally minted credentials are the core identity primitive for the kill switch. | https://spiffe.io/docs/latest/spiffe-about/overview/ ; https://developer.hashicorp.com/vault/docs/concepts/lease ; https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_temp.html ; https://cloud.google.com/iam/docs/workload-identity-federation | high | Review converges on expiry or revocation instead of standing secrets. |
| [inference] Identity revocation alone is insufficient on all platforms, so PEP-side deny and disable actions remain necessary. | https://learn.microsoft.com/en-us/entra/identity/conditional-access/concept-continuous-access-evaluation-workload ; https://learn.microsoft.com/en-us/azure/active-directory/managed-identities-azure-resources/overview ; https://davidamitchell.github.io/Research/research/2026-04-27-out-of-band-policy-invalidation-remediation.html | medium | Managed-identity and cached-token limits remain. |
| [inference] Central inventory, independent validation, and durable evidence are mandatory regulated-bank constraints on the tooling design. | https://www.eiopa.europa.eu/digital-operational-resilience-act-dora_en ; https://www.federalreserve.gov/boarddocs/srletters/2011/sr1107a1.pdf ; https://www.bankofengland.co.uk/prudential-regulation/publication/2023/may/model-risk-management-principles-for-banks-ss | high | Governance obligations shape architecture directly. |
| [inference] The minimum viable stack can be limited to signed OPA publication, a stateful PIP registry, an OTel Collector pipeline, one managed workload-identity system, and a central audit sink, with SPIFFE, Cedar, or Vault reserved as optional hardening layers. | https://www.openpolicyagent.org/docs/management-bundles ; https://opentelemetry.io/docs/collector/architecture/ ; https://learn.microsoft.com/en-us/entra/workload-id/workload-identities-overview ; https://davidamitchell.github.io/Research/research/2026-04-26-ai-lowcode-observability-telemetry-governance.html ; https://www.eiopa.europa.eu/digital-operational-resilience-act-dora_en ; https://www.federalreserve.gov/boarddocs/srletters/2011/sr1107a1.pdf | medium | Audit centralization and hardening needs come from governance duties plus telemetry-control evidence. |
