| Claim | Source | Confidence | Notes |
|---|---|---|---|
| [inference] SWE-bench Verified is the strongest public benchmark for end-to-end harness comparison. | https://www.swebench.com/verified.html; https://arxiv.org/abs/2310.06770 | medium | Comparative judgment derived from the benchmark design and public coverage. |
| [inference] HumanEval and MBPP are weaker direct proxies for harness quality than SWE-bench family benchmarks. | https://arxiv.org/abs/2107.03374; https://github.com/openai/human-eval; https://github.com/google-research/google-research/tree/master/mbpp; https://www.swebench.com/verified.html | medium | Comparative judgment based on benchmark task design differences. |
| [fact] LiveCodeBench and BigCodeBench broaden evaluation beyond older standalone-function tests. | https://arxiv.org/abs/2403.07974; https://livecodebench.github.io/; https://openreview.net/forum?id=YrycTjllL0; https://bigcode-bench.github.io/ | high | Freshness, contamination resistance, and tool or library use are central design goals. |
| [fact] pass@k and percent resolved are the dominant quantitative benchmark metrics, while product studies add approval, quality, and speed metrics. | https://arxiv.org/abs/2107.03374; https://www.swebench.com/; https://github.blog/news-insights/research/does-github-copilot-improve-code-quality-heres-what-the-data-says/ | high | Metric families should not be collapsed into one scalar. |
| [fact] The strongest current public Verified scores visible in accessible official sources belong mostly to live-SWE-agent and mini-SWE-agent variants. | https://www.swebench.com/ | medium | Retrieved top entries are 79.2% and 76.8%. |
| [fact] OpenHands is a leading open-source branded platform entry on the public Verified leaderboard. | https://www.swebench.com/; https://all-hands.dev/ | medium | Branded OpenHands entries appear from 65.8% to 70.4% in retrieved data. |
| [inference] Amazon Q Developer Agent currently has stronger directly attributable public Verified evidence than Google Jules. | https://www.swebench.com/; https://aws.amazon.com/q/developer/; https://developers.googleblog.com/en/the-next-chapter-of-the-gemini-era-for-developers/ | medium | Comparative synthesis based on the retrieved official public entries. |
| [inference] Devin's best accessible official public score is still its original 13.86% SWE-bench result, not a current Verified score. | https://www.cognition.ai/blog/swe-bench-technical-report; https://www.cognition.ai/blog/introducing-devin; https://www.swebench.com/verified.html | medium | Important historical result, weak for current direct ranking. |
| [inference] GitHub Copilot and Cursor publish public evidence that is not directly leaderboard-comparable with benchmark-native harnesses. | https://github.blog/news-insights/research/research-quantifying-github-copilots-impact-on-developer-productivity-and-happiness/; https://github.blog/news-insights/research/does-github-copilot-improve-code-quality-heres-what-the-data-says/; https://cursor.com/blog/cursorbench; https://www.swebench.com/ | medium | Public evidence exists, but it is not presented as a first-party shared benchmark score. |
| [inference] Benchmark credibility and benchmark-family fit now matter as much as raw score. | https://arxiv.org/abs/2403.07974; https://cursor.com/blog/cursorbench; https://survey.stackoverflow.co/2024/ai | medium | Public critiques and mixed practitioner trust justify the weighting rule. |
