| Claim | Source | Confidence | Notes |
|---|---|---|---|
| Process Universe is a design-time ITIL 4-aligned reference library | https://www.reco.ai/hub/itil-servicenow-guide-it-administrators; https://www.royalcyber.com/blogs/servicenow/servicenow-itil-4-transforming-itsm/ | High | [fact] |
| Flow Designer is for background automation; Playbooks for runtime agent guidance | https://www.servicenow.com/community/developer-forum/flow-designer-vs-playbooks-in-servicenow-what-s-the-difference/m-p/3321831; https://www.servicenow.com/docs/r/washingtondc/build-workflows/process-automation-designer-landing-page.html | High | [fact] |
| Workflow Editor is in maintenance-only status | https://www.mindspire-consulting.com/service-management-and-servicenow-news/future-of-automated-it-service-management/; https://www.igmguru.com/blog/servicenow-workflow | High | [fact] |
| 80% of ITSM practitioners report their process maps don't reflect how work is done | https://www.ctms-itsm.com/blogs/how-itsm-are-using-process-maps/ (CTMS/Ivanti LIVE practitioner survey, 100+ respondents) | Medium | [fact] — single survey |
| 56% of ITSM professionals report lacking time to keep diagrams current | https://www.ctms-itsm.com/blogs/process-mapping-for-continuous-improvement/ | Medium | [fact] — single survey |
| Root causes of decay: one-off creation, no ownership, no governance, time constraints | https://itsm.tools/build-valued-process-library-itsm/; https://bpmcommunity.org/common-challenges-in-process-documentation/ | High | [fact] — multiple independent sources |
| ServiceNow recommends three governance boards (strategic, portfolio, technical) | https://www.servicenow.com/content/dam/servicenow-assets/public/en-us/doc-type/success/workbook/governance-basics.pdf | High | [fact] — primary/vendor source |
| Named process owners + RACI matrices are required for documentation to stay current | https://glydepath.com.au/governance; https://us.fitgap.com/stack-guides/building-a-repeatable-governance-model-for-process-changes-across-business-units | High | [fact] — two independent sources |
| Change-triggered documentation update is more reliable than calendar-only review | https://us.fitgap.com/stack-guides/building-a-repeatable-governance-model-for-process-changes-across-business-units | Medium | [inference] supported by governance literature |
| MVP documentation: out-of-box templates + delta + RACI + exception paths | https://us.fitgap.com/stack-guides/standardize-it-process-requirements-with-a-minimum-viable-process-blueprint | Medium | [fact] + [inference] |
| No native structured linkage between process docs and CSDM records | Inferred from absence across all sources consulted | Medium | [inference] |
| CSDM change management uses service relationships to compute process impact | https://www.servicenow.com/community/common-service-data-model/how-the-common-service-data-model-transforms-change-management/ta-p/3434257 | High | [fact] |
| Process Mining reveals actual behaviour but cannot substitute for governance documentation | https://www.thedigitaliceberg.com/post/how-does-process-mining-work-in-servicenow; https://servicenowspectaculars.com/servicenow-process-mining-implementation-issues-2026/; https://govcio.com/resources/article/servicenow-process-mining/ | High | [fact] — multiple independent sources |
